,ids,impres,reach,saved,video_views
0,17855236483077308,0,0,0,0
1,17853984304117237,0,0,0,0
2,17843459995192371,0,0,0,0
3,17863294771038670,0,0,0,0
4,17864120158037953,0,0,0,0
5,17864049496035750,0,0,0,0
6,17858408956071207,0,0,0,0
7,17843708674155733,0,0,0,0
8,17858627830065107,0,0,0,0
9,17856088999076825,0,0,0,205
10,17865348127039629,0,0,0,0
11,17865117949044238,0,0,0,0
12,17854896958099289,0,0,0,0
13,17867571406030559,0,0,0,0
14,17844865813133010,0,0,0,0
15,17856279349073959,0,0,0,0
16,17854190062092273,0,0,0,0
17,17844109843163291,0,0,0,0
18,17844113848179220,0,0,0,0
19,17855789644105822,0,0,0,0
20,17859536245064709,0,0,1,202
21,17864849041053469,0,0,0,0
22,17844440518174401,0,0,0,0
23,17866295143002812,0,0,1,0
24,17854666465080258,0,0,4,0
25,17844749791142526,0,0,0,0
26,17867620429056477,0,0,0,0
27,17844663901157657,0,0,0,0
28,17844664384154038,0,0,1,0
29,17844729142175449,0,0,0,0
30,17864862550011474,0,0,0,0
31,17844778615159081,0,0,0,0
32,17844877801191391,0,0,0,0
33,17866850302061350,0,0,0,0
34,17844929980180573,0,0,0,0
35,17858037718072497,0,0,0,0
36,17856194800112590,0,0,0,0
37,17860277242069409,0,0,0,0
38,17855333650094577,0,0,1,0
39,17845717291143255,0,0,1,0
40,17867703946022421,0,0,0,0
41,17856950074129711,0,0,0,0
42,17856499582122653,0,0,1,0
43,17845542814182998,0,0,0,0
44,17845606507177844,0,0,2,0
45,17845673656147002,0,0,1,0
46,17845737730190607,0,0,0,0
47,17846105614179197,0,0,1,0
48,17847373828136107,0,0,0,0
49,17862915817065331,0,0,0,0
50,17846521369161914,0,0,0,0
51,17869147534047700,0,0,5,0
52,17857113235088978,0,0,4,0
53,17846791129184000,0,0,0,0
54,17846901691180699,0,0,1,0
55,17848785682132209,0,0,0,0
56,17869557586024115,0,0,0,0
57,17863880371066011,0,0,2,0
58,17847373045161299,0,0,0,0
59,17857914286086967,0,0,2,0
60,17847736738166921,0,0,0,0
61,17847678583188926,0,0,0,0
62,17870785498009457,0,0,3,0
63,17881431289051230,0,0,0,0
64,17870478622042103,0,0,1,0
65,17848406479173235,0,0,3,0
66,17865312412070586,0,0,1,0
67,17862655198076391,0,0,1,0
68,17848554823185333,0,0,1,0
69,17861037613098562,0,0,2,0
70,17848915483174364,0,0,0,0
71,17848910473160017,0,0,2,0
72,17850960469138260,0,0,0,0
73,17866166143064953,0,0,1,0
74,17871749071063260,0,0,2,0
75,17859919069090015,0,0,1,0
76,17849772316158292,0,0,0,0
77,17851613251143204,0,0,0,0
78,17873019565008396,0,0,0,0
79,17874398377031328,0,0,0,223
80,17851912159136291,0,0,0,0
81,17873526208026307,0,0,4,0
82,17873138128054381,0,0,2,0
83,17873755780009562,0,0,3,0
84,17852674477135947,0,0,1,0
85,17852438230143323,0,0,0,0
86,17873580556017358,0,0,0,0
87,17874021079043578,0,0,1,0
88,17873893651008701,0,0,0,0
89,17852021770145219,0,0,0,0
90,17850919018189156,0,0,1,0
91,17861863474087538,0,0,1,0
92,17863824196097323,0,0,0,0
93,17862010180095508,0,0,5,0
94,17864257207099482,0,0,0,0
95,17863997425119429,0,0,8,0
96,17875691737041656,0,0,1,0
97,17852180125161988,0,0,4,0
98,17875998796051063,0,0,1,0
99,17867111341072768,0,0,4,0
100,17864206495120477,0,0,0,0
101,17863054714090831,0,0,2,0
102,17865226618112002,0,0,2,0
103,17855694901138953,0,0,1,0
104,17877246670055156,0,0,1,0
105,17866036771111167,0,0,0,0
106,17868437704078741,0,0,1,0
107,17868899596078562,0,0,5,0
108,17866076440117473,0,0,0,0
109,17856406189133741,0,0,0,0
110,17853944029179343,0,0,1,0
111,17878462402028751,0,0,0,0
112,17866773205118872,0,0,3,0
113,17853928309180208,0,0,0,0
114,17855044900154977,0,0,1,0
115,17854598275163515,0,0,0,0
116,17867596021108062,0,0,2,0
117,17873643136065245,0,0,2,0
118,17865284008082747,0,0,0,0
119,17854459315185987,0,0,1,187
120,17855871931157407,0,0,4,0
121,17878739923014294,0,0,3,0
