,0,1
0,17855236483077308,"[104, 0, 0, 0]"
1,17853984304117237,"[67, 0, 0, 0]"
2,17843459995192371,"[101, 0, 0, 0]"
3,17863294771038670,"[38, 0, 0, 0]"
4,17864120158037953,"[85, 0, 0, 0]"
5,17864049496035750,"[106, 0, 0, 0]"
6,17858408956071207,"[39, 0, 0, 0]"
7,17843708674155733,"[63, 0, 0, 0]"
8,17858627830065107,"[58, 0, 0, 0]"
9,17856088999076825,"[38, 0, 0, 0, 205]"
10,17865348127039629,"[68, 0, 0, 0]"
11,17865117949044238,"[45, 0, 0, 0]"
12,17854896958099289,"[51, 0, 0, 0]"
13,17867571406030559,"[70, 0, 0, 0]"
14,17844865813133010,"[94, 0, 0, 0]"
15,17856279349073959,"[53, 0, 0, 0]"
16,17854190062092273,"[112, 0, 0, 0]"
17,17844109843163291,"[62, 0, 0, 0]"
18,17844113848179220,"[45, 0, 0, 0]"
19,17855789644105822,"[91, 0, 0, 0]"
20,17859536245064709,"[34, 0, 0, 1, 202]"
21,17864849041053469,"[69, 0, 0, 0]"
22,17844440518174401,"[63, 0, 0, 0]"
23,17866295143002812,"[65, 0, 0, 1]"
24,17854666465080258,"[121, 0, 0, 4]"
25,17844749791142526,"[49, 0, 0, 0]"
26,17867620429056477,"[75, 0, 0, 0]"
27,17844663901157657,"[82, 0, 0, 0]"
28,17844664384154038,"[80, 0, 0, 1]"
29,17844729142175449,"[93, 0, 0, 0]"
30,17864862550011474,"[71, 0, 0, 0]"
31,17844778615159081,"[73, 0, 0, 0]"
32,17844877801191391,"[46, 0, 0, 0]"
33,17866850302061350,"[12, 0, 0, 0]"
34,17844929980180573,"[46, 0, 0, 0]"
35,17858037718072497,"[69, 0, 0, 0]"
36,17856194800112590,"[75, 0, 0, 0]"
37,17860277242069409,"[47, 0, 0, 0]"
38,17855333650094577,"[67, 0, 0, 1]"
39,17845717291143255,"[65, 0, 0, 1]"
40,17867703946022421,"[75, 0, 0, 0]"
41,17856950074129711,"[49, 0, 0, 0]"
42,17856499582122653,"[68, 0, 0, 1]"
43,17845542814182998,"[31, 0, 0, 0]"
44,17845606507177844,"[42, 0, 0, 2]"
45,17845673656147002,"[115, 0, 0, 1]"
46,17845737730190607,"[90, 0, 0, 0]"
47,17846105614179197,"[51, 0, 0, 1]"
