,ids,engag
0,17855236483077308,104
1,17853984304117237,67
2,17843459995192371,101
3,17863294771038670,38
4,17864120158037953,85
5,17864049496035750,106
6,17858408956071207,39
7,17843708674155733,63
8,17858627830065107,58
9,17856088999076825,38
10,17865348127039629,68
11,17865117949044238,45
12,17854896958099289,51
13,17867571406030559,70
14,17844865813133010,94
15,17856279349073959,53
16,17854190062092273,112
17,17844109843163291,62
18,17844113848179220,45
19,17855789644105822,91
20,17859536245064709,34
21,17864849041053469,69
22,17844440518174401,63
23,17866295143002812,65
24,17854666465080258,121
25,17844749791142526,49
26,17867620429056477,75
27,17844663901157657,82
28,17844664384154038,80
29,17844729142175449,93
30,17864862550011474,71
31,17844778615159081,73
32,17844877801191391,46
33,17866850302061350,12
34,17844929980180573,46
35,17858037718072497,69
36,17856194800112590,75
37,17860277242069409,47
38,17855333650094577,67
39,17845717291143255,65
40,17867703946022421,75
41,17856950074129711,49
42,17856499582122653,68
43,17845542814182998,31
44,17845606507177844,42
45,17845673656147002,115
46,17845737730190607,90
47,17846105614179197,51
48,17847373828136107,72
49,17862915817065331,46
50,17846521369161914,64
51,17869147534047700,137
52,17857113235088978,97
53,17846791129184000,161
54,17846901691180699,75
55,17848785682132209,52
56,17869557586024115,43
57,17863880371066011,153
58,17847373045161299,86
59,17857914286086967,87
60,17847736738166921,64
61,17847678583188926,45
62,17870785498009457,81
63,17881431289051230,112
64,17870478622042103,88
65,17848406479173235,112
66,17865312412070586,58
67,17862655198076391,96
68,17848554823185333,44
69,17861037613098562,87
70,17848915483174364,111
71,17848910473160017,119
72,17850960469138260,105
73,17866166143064953,79
74,17871749071063260,90
75,17859919069090015,113
76,17849772316158292,66
77,17851613251143204,91
78,17873019565008396,45
79,17874398377031328,60
80,17851912159136291,26
81,17873526208026307,94
82,17873138128054381,81
83,17873755780009562,52
84,17852674477135947,116
85,17852438230143323,68
86,17873580556017358,85
87,17874021079043578,56
88,17873893651008701,69
89,17852021770145219,54
90,17850919018189156,67
91,17861863474087538,74
92,17863824196097323,123
93,17862010180095508,129
94,17864257207099482,66
95,17863997425119429,186
96,17875691737041656,112
97,17852180125161988,229
98,17875998796051063,61
99,17867111341072768,155
100,17864206495120477,101
101,17863054714090831,115
102,17865226618112002,148
103,17855694901138953,95
104,17877246670055156,122
105,17866036771111167,84
106,17868437704078741,90
107,17868899596078562,124
108,17866076440117473,62
109,17856406189133741,56
110,17853944029179343,40
111,17878462402028751,75
112,17866773205118872,77
113,17853928309180208,48
114,17855044900154977,87
115,17854598275163515,53
116,17867596021108062,73
117,17873643136065245,96
118,17865284008082747,40
119,17854459315185987,30
120,17855871931157407,87
121,17878739923014294,66
122,17880343285043909,32
123,17855027596173767,65
124,17857983718132623,93
125,17855619460165888,74
126,17868495874106399,82
127,17867730895123696,50
128,17880029461041057,57
129,17868957364118626,78
130,17869111015103900,57
131,17856129430175563,68
132,17869090261112115,53
133,17869727656096552,70
134,17880956455002538,47
135,17867401426082122,67
136,17857713274152105,37
137,17882546323054127,82
138,17857283149167085,64
139,17858512411146738,69
140,17857606912163426,47
141,17868097762085759,31
142,17860500976137946,34
143,17860531543136501,44
144,17882312944057532,46
145,17868456685082755,38
146,17860785901140517,40
147,17871332497098825,121
148,17883407959058365,47
149,17859265174153459,31
150,17874771739077891,53
151,17875115014078703,65
152,17870082262083964,65
153,17885114311028062,75
154,17885828515039786,29
155,17885965519000495,81
156,17884827652044380,53
157,17886097168029178,59
158,17887071961044655,58
159,17861226088179291,51
160,17864635090142754,30
161,17861613727165631,79
162,17875553656129569,53
163,17887046782013542,54
164,17889200173034203,48
165,17873258818088038,53
166,17875376404120852,70
167,17888909857017728,57
168,17877631384118162,53
169,17877333367101068,46
170,17864510164176632,114
171,17884104073065983,28
172,17867313256134017,49
173,17891221750061537,69
174,17890256653037965,25
175,17890380409014258,41
176,17868297130133084,51
177,17850726478198098,78
178,17890615294019910,24
179,17877086635086044,58
180,17892982213036446,73
181,17852038324198285,30
182,17866147702192340,128
183,17878049488095503,74
184,17881151149111354,64
185,17870992315131650,66
186,17894738707031272,100
187,17882539948113715,79
188,17901033820044077,49
189,17894547103029460,37
190,17882384284102282,53
191,17872050658141067,74
192,17881807537127714,64
193,17887074658072901,46
194,17895257218019294,59
195,17882413003127222,73
196,17871707674178819,23
197,17884556239100122,107
198,17887918591073093,85
199,17872452322153293,53
200,17870752588163467,60
201,17872819516148202,70
202,17872582786191727,116
203,17870179315169461,46
204,17872826122180808,86
205,17883203809090763,48
206,17899660273050000,56
207,17883464701090676,85
208,17899387762026959,64
209,17892498154073445,69
210,17877005215143038,44
211,17892162316078693,37
212,17892209203076926,178
213,17874675514182240,75
214,17885277694084592,45
215,17900008747010852,43
216,17886759067089599,65
217,17902225687056690,99
218,17843537983213759,75
219,17877130189189341,77
220,17889362536122883,59
221,17875668997167233,74
222,17890145140099879,87
223,17877451522165678,75
224,17889133345127730,82
225,17863808782198781,89
226,17906339269027662,89
227,17904262105010670,67
228,17904958603058171,104
229,17889290887095147,81
230,17895208894109497,70
231,17881711834184795,118
232,17893662331106996,60
233,17906343697061988,81
234,17846878540219939,98
235,17906555242024297,132
236,17893393813112955,104
237,17881779433188407,61
238,17880283744153920,49
239,17906798479014703,132
240,17907700705023614,78
241,17881517104180636,128
242,17912058847037171,115
243,17890923496095697,84
244,17906917252021044,92
245,17895411022108873,75
246,17908840708044811,82
247,17884591990140385,67
248,17910573784003782,87
249,17868076603196484,66
250,17851027876204570,104
251,17896354963117685,46
252,17897140744103459,72
253,17885896129132727,85
254,17893714783093563,60
255,17851037902223175,75
256,17898213088097516,43
257,17884617391158760,129
258,17885686078145035,72
259,17886087973144002,63
260,17882536603173154,99
261,17898130834123625,74
262,17898066223124826,17
263,17888844568141796,37
264,17853314101221116,56
265,17900755981111544,87
266,17900539432115138,51
267,17886693763159345,33
268,17915195620045876,59
269,17855025217210772,37
270,17908250128079431,77
271,17898688066095860,41
272,17900322211086050,89
273,17904770302107586,226
274,17844548266233656,65
275,17893632412182959,115
276,17860405351207476,91
277,17919632383003798,63
278,17859667102220751,130
279,17919975040058508,59
280,17903114569082462,92
281,17908475776115512,56
282,17923002964017061,24
283,17895263551157766,42
284,17928222571043264,87
285,17895087799177607,85
286,17863161730211062,65
287,17910495715104696,83
288,17924015272007161,63
289,17896709578153106,70
290,17906011177090490,79
291,17899369258135026,104
292,17885094880194984,56
293,17884423417195032,105
294,17927188792039785,32
295,17866990480212590,50
296,17867461030215822,47
297,17928324964036742,82
298,17928439957044959,74
299,17904472480136293,70
300,17897555782173997,74
301,17913691558120631,38
302,17889213787197761,49
303,17912036722094933,73
304,17900760310165145,51
305,17858707696224418,58
306,17942452264006013,95
307,17854500352246856,98
308,17919190210102009,35
309,17921789962103218,79
310,17920904278099929,58
311,17905780372157928,62
312,17861673604236778,52
313,17907883747183889,68
314,17875469593213392,40
315,17935666666060909,62
316,17903775175168243,86
317,17907874456177064,107
318,17846813005254084,85
319,17923137721119325,57
320,17932143895071823,39
321,17932170901070512,42
322,17867039569231070,70
323,17938990648031644,75
324,17930450815078368,37
325,17879156932209252,79
326,17921331265087956,52
327,17878398454216357,62
328,17848761271260302,62
329,17922149812093466,75
330,17914540594178951,45
331,17851183045262816,49
332,17924442679093021,39
333,17855870992248027,24
334,17929949638120126,137
335,17848205617262840,17
336,17942776750067204,71
337,17921181637176938,67
338,17920186042158569,79
339,17933508469121527,297
340,17892029851201473,376
341,17888654623222834,344
342,17949793012044564,145
343,17923720354176201,22
344,17952135835060159,402
345,17954576185038778,400
346,17880435934237357,398
347,17934210580092074,403
348,17930138893137985,50
349,17954734960027169,448
350,17954715586035487,607
351,17926214440155213,502
352,17927692195144963,456
353,17867278501248307,437
354,17925195484160257,486
355,17955439006046463,820
356,17942426680118107,911
357,17957594734060337,957
358,17868830524254789,847
359,17869478635250019,1161
360,17960236417010147,769
361,17960754544019134,716
362,17931707290146400,766
363,17948988397098877,826
364,17943133012086545,781
365,17890259056238185,851
366,17890999255232667,694
367,17964894175007493,808
368,17902580929217444,385
369,17939630122184991,341
370,17965517374011531,919
371,17938733419183427,830
372,17955155464098197,774
373,17953145245120433,766
374,17882293792255010,751
375,17937438859172791,855
376,17952170707089062,801
377,17974500172032951,441
378,17945089492177334,543
379,17877006892269455,483
380,17975370001044732,456
381,17845710130290493,391
382,17975899930040161,523
